initial_position,final_configuration,degree,final_rank,rank_CB,final_rank_normlized,rank_CB_normlized,TeckRank_int
3,Zscaler,0,5.08,170.0,9.011885754834132,1122.0,1.0
5,OPSWAT,0,5.132,528.0,9.104133404293064,764.0,2.0
1,Lacework,0,5.148,581.0,9.132517296434274,711.0,3.0
7,OneTrust,0,5.221,107.0,9.262018804328545,1185.0,4.0
2,Talend,0,5.246,1264.0,9.306368635799187,28.0,5.0
4,BigID,0,5.311,152.0,9.42167819762285,1140.0,6.0
6,AppOmni,0,5.338,280.0,9.469576015611143,1012.0,7.0
0,G4S,0,5.347,988.0,9.485541954940572,304.0,8.0
8,1Password,0,5.541,1291.0,9.829696647152742,1.0,9.0
9,Acronis,0,5.637,595.0,10.0,697.0,10.0
