initial_position,final_configuration,degree,final_rank,rank_CB
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
19,OneTrust,0,2.262,107.0
20,BigID,0,2.78,152.0
18,Zscaler,0,2.213,170.0
25,AppOmni,0,6.496,280.0
13,OPSWAT,0,1.243,528.0
17,Lacework,0,2.213,581.0
24,Acronis,0,5.065,595.0
21,G4S,0,3.084,988.0
23,Talend,0,4.394,1264.0
22,1Password,0,3.832,1291.0
