initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
6,Big Trend,0,1.0,475291.0,2.9797377830750893,215497.0,1.0
2,Stashable,0,1.0,179617.0,2.9797377830750893,511171.0,2.0
4,Heritage Solutions,0,1.0,555780.0,2.9797377830750893,135008.0,3.0
1,U.S. Private Vaults,0,1.0,161325.0,2.9797377830750893,529463.0,4.0
7,Gulf Union Cooperative Insurance Co.,0,1.0,477577.0,2.9797377830750893,213211.0,5.0
5,Reliable Fire Equipment,0,1.0,513158.0,2.9797377830750893,177630.0,6.0
8,Inner Circle Labs,0,1.0,224283.0,2.9797377830750893,466505.0,7.0
3,Smarts Group,0,1.0,344645.0,2.9797377830750893,346143.0,8.0
0,Cold Chain Technologies,0,1.0,138847.0,2.9797377830750893,551941.0,9.0
9,Maya Toys,0,1.0,579924.0,2.9797377830750893,110864.0,10.0
39,diplo*,0,2.0,672039.0,5.959475566150179,18749.0,11.0
1342,1Password,0,3.061,1291.0,9.12097735399285,689497.0,12.0
1436,LockDown,0,3.061,43885.0,9.12097735399285,646903.0,13.0
1484,Silver Shark Solutions,0,3.061,686738.0,9.12097735399285,4050.0,14.0
1437,Acronis,0,3.061,595.0,9.12097735399285,690193.0,15.0
1496,fitchain,0,3.061,341658.0,9.12097735399285,349130.0,16.0
1489,Impresso Labs,0,3.061,65537.0,9.12097735399285,625251.0,17.0
1152,Swiss Security Solutions LLC,0,3.061,40435.0,9.12097735399285,650353.0,18.0
1026,Honeywell International,0,3.061,527862.0,9.12097735399285,162926.0,19.0
1324,IonTerra,0,3.074,65724.0,9.159713945172825,625064.0,20.0
1477,Original Function,0,3.074,311803.0,9.159713945172825,378985.0,21.0
1486,Metacommerce,0,3.074,42728.0,9.159713945172825,648060.0,22.0
1460,Perspecsys,0,3.074,50268.0,9.159713945172825,640520.0,23.0
1377,Protegrity,0,3.074,80887.0,9.159713945172825,609901.0,24.0
1483,Tauruseer,0,3.074,54918.0,9.159713945172825,635870.0,25.0
1365,i2Chain,0,3.074,30559.0,9.159713945172825,660229.0,26.0
1405,Data Catalyst,0,3.074,267292.0,9.159713945172825,423496.0,27.0
1307,Praetorian,0,3.074,12218.0,9.159713945172825,678570.0,28.0
1287,Secure Code Warrior,0,3.074,4301.0,9.159713945172825,686487.0,29.0
1083,2ndQuadrant,0,3.074,213396.0,9.159713945172825,477392.0,30.0
360,ZeNPulsar,0,3.074,520454.0,9.159713945172825,170334.0,31.0
1498,WeSee,0,3.074,171021.0,9.159713945172825,519767.0,32.0
1497,Tendertec,0,3.074,49052.0,9.159713945172825,641736.0,33.0
1328,Originscale,0,3.088,85949.0,9.201430274135877,604839.0,34.0
1433,Omnistruct Inc,0,3.088,77163.0,9.201430274135877,613625.0,35.0
1393,Aware,0,3.088,14372.0,9.201430274135877,676416.0,36.0
1242,SafeSurv,0,3.088,96840.0,9.201430274135877,593948.0,37.0
808,Butlr,0,3.088,90143.0,9.201430274135877,600645.0,38.0
1495,OSA Hybrid Platform,0,3.088,350976.0,9.201430274135877,339812.0,39.0
1263,E-Semble,0,3.088,271674.0,9.201430274135877,419114.0,40.0
1203,NURL,0,3.088,354795.0,9.201430274135877,335993.0,41.0
1245,Sniffie Software,0,3.088,193241.0,9.201430274135877,497547.0,42.0
