initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
0,U.S. Private Vaults,0,1.0,161325.0,1.9853087155052611,266069.0,1.0
4,Cold Chain Technologies,0,1.0,138847.0,1.9853087155052611,288547.0,2.0
3,Inner Circle Labs,0,1.0,224283.0,1.9853087155052611,203111.0,3.0
2,Smarts Group,0,1.0,344645.0,1.9853087155052611,82749.0,4.0
1,Stashable,0,1.0,179617.0,1.9853087155052611,247777.0,5.0
403,1Password,0,2.552,1291.0,5.066507841969426,426103.0,6.0
632,LockDown,0,2.56,43885.0,5.0823903116934686,383509.0,7.0
647,Acronis,0,2.58,595.0,5.122096486003573,426799.0,8.0
424,Protegrity,0,2.58,80887.0,5.122096486003573,346507.0,9.0
879,Tauruseer,0,2.654,54918.0,5.269009330950962,372476.0,10.0
381,i2Chain,0,2.655,30559.0,5.270994639666467,396835.0,11.0
767,Perspecsys,0,2.659,50268.0,5.2789358745284884,377126.0,12.0
323,Swiss Security Solutions LLC,0,2.674,40435.0,5.308715505261068,386959.0,13.0
289,Secure Code Warrior,0,2.677,4301.0,5.314671431407584,423093.0,14.0
184,TomorrowX,0,2.677,216875.0,5.314671431407584,210519.0,15.0
279,Sniffie Software,0,2.679,193241.0,5.318642048838594,234153.0,16.0
479,Data Catalyst,0,2.681,267292.0,5.322612666269605,160102.0,17.0
730,Praetorian,0,2.685,12218.0,5.330553901131626,415176.0,18.0
162,2ndQuadrant,0,2.686,213396.0,5.332539209847131,213998.0,19.0
136,Alcide,0,2.702,8222.0,5.364304149295216,419172.0,20.0
676,Aware,0,2.712,14372.0,5.384157236450269,413022.0,21.0
111,Safe Swiss Cloud,0,2.716,288685.0,5.3920984713122895,138709.0,22.0
992,fitchain,0,2.724,341658.0,5.407980941036331,85736.0,23.0
690,CyberGhost,0,2.725,81498.0,5.409966249751836,345896.0,24.0
683,Omnistruct Inc,0,2.726,77163.0,5.411951558467342,350231.0,25.0
969,Impresso Labs,0,2.731,65537.0,5.421878102044868,361857.0,26.0
678,E-Semble,0,2.733,271674.0,5.425848719475878,155720.0,27.0
