initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
1,GK8,0,2.048,16068.0,3.0224321133412047,1725.0,1.0
9,Qohash,0,2.524,15098.0,3.7249114521841795,2695.0,2.0
39,Aurora Innovation,0,2.566,8358.0,3.7868949232585596,9435.0,3.0
14,NowSecure,0,2.602,6239.0,3.840023612750885,11554.0,4.0
7,Cybellum,0,2.673,14155.0,3.9448051948051948,3638.0,5.0
11,Dtex Systems,0,2.677,6420.0,3.9507083825265643,11373.0,6.0
36,Text IQ,0,2.696,2273.0,3.9787485242030702,15520.0,7.0
19,Ivanti,0,2.7,16302.0,3.98465171192444,1491.0,8.0
12,Spherical Defense,0,2.851,16273.0,4.20749704840614,1520.0,9.0
40,Noname Security,0,2.854,8087.0,4.211924439197166,9706.0,10.0
13,RunSafe Security,0,2.979,17565.0,4.396399055489964,228.0,11.0
5,Safepay,0,3.0,16663.0,4.427390791027155,1130.0,12.0
4,GoSecure,0,3.0,7594.0,4.427390791027155,10199.0,13.0
38,HUB Security,0,3.045,17720.0,4.493801652892563,73.0,14.0
63,AT&T CyberSecurity,0,3.108,10402.0,4.586776859504132,7391.0,15.0
0,Cyberinc,0,3.128,14372.0,4.6162927981109805,3421.0,16.0
2,Boeing,0,3.132,13199.0,4.62219598583235,4594.0,17.0
10,InteliSecure,0,3.211,16422.0,4.7387839433293975,1371.0,18.0
3,True-Tickets,0,3.222,7631.0,4.755017709563164,10162.0,19.0
35,Ecosystem Integrity Fund,0,3.245,17792.0,4.788961038961039,1.0,20.0
6,SuperCom,0,3.327,15537.0,4.909976387249115,2256.0,21.0
64,Fluree,0,3.479,8650.0,5.134297520661157,9143.0,22.0
45,Signal Sciences,0,3.576,3858.0,5.2774498229043685,13935.0,23.0
37,Tresorit,0,3.621,13615.0,5.343860684769775,4178.0,24.0
30,Numbers Protocol,0,3.622,6580.0,5.345336481700118,11213.0,25.0
73,Secureframe,0,3.739,2133.0,5.518004722550177,15660.0,26.0
88,Jiffy,0,3.8,10026.0,5.6080283353010625,7767.0,27.0
69,Fortanix,0,3.804,4981.0,5.613931523022432,12812.0,28.0
15,Acronis,0,3.852,595.0,5.684769775678866,17198.0,29.0
67,Argon Security,0,3.946,12507.0,5.823494687131051,5286.0,30.0
18,Vence,0,4.028,12406.0,5.9445100354191265,5387.0,31.0
56,Talend,0,4.079,1264.0,6.019775678866588,16529.0,32.0
8,Ensighten,0,4.093,12069.0,6.040436835891382,5724.0,33.0
16,Edge,0,4.174,4447.0,6.159976387249115,13346.0,34.0
71,Privacy.com,0,4.203,4897.0,6.2027744982290445,12896.0,35.0
59,vChain,0,4.209,15265.0,6.211629279811097,2528.0,36.0
58,Flock Safety,0,4.227,2360.0,6.238193624557261,15433.0,37.0
87,StackPath,0,4.256,3764.0,6.2809917355371905,14029.0,38.0
29,Alitheon,0,4.294,16322.0,6.3370720188902006,1471.0,39.0
17,Nymi,0,4.303,11743.0,6.350354191263282,6050.0,40.0
28,Cyber Defense Labs,0,4.309,16182.0,6.359208972845337,1611.0,41.0
81,DefenseStorm,0,4.343,12505.0,6.4093860684769774,5288.0,42.0
20,Jumbo Privacy,0,4.366,9835.0,6.443329397874852,7958.0,43.0
54,TripleBlind,0,4.376,3711.0,6.458087367178277,14082.0,44.0
34,PSafe Technology,0,4.377,16937.0,6.459563164108618,856.0,45.0
79,G4S,0,4.38,988.0,6.463990554899645,16805.0,46.0
86,CybSafe,0,4.404,11175.0,6.4994096812278634,6618.0,47.0
25,DRONEDEK,0,4.409,11497.0,6.506788665879575,6296.0,48.0
32,Saab,0,4.409,5577.0,6.506788665879575,12216.0,49.0
21,Claravine,0,4.418,13769.0,6.520070838252657,4024.0,50.0
22,ISARA Corporation,0,4.418,17123.0,6.520070838252657,670.0,51.0
41,xMatters,0,4.43,1463.0,6.537780401416765,16330.0,52.0
57,Integrity Marketing Group,0,4.442,726.0,6.5554899645808735,17067.0,53.0
60,OneTrust,0,4.461,107.0,6.583530106257379,17686.0,54.0
93,Alcide,0,4.473,8222.0,6.6012396694214885,9571.0,55.0
61,Synack,0,4.502,3485.0,6.644037780401416,14308.0,56.0
43,Front Range Biosciences,0,4.504,13317.0,6.646989374262101,4476.0,57.0
33,Armor,0,4.518,6953.0,6.667650531286895,10840.0,58.0
44,OPĀQ,0,4.559,13484.0,6.728158205430933,4309.0,59.0
50,Aware,0,4.662,14372.0,6.880165289256198,3421.0,60.0
66,TrapX Security,0,4.666,12168.0,6.886068476977568,5625.0,61.0
23,NortonLifeLock,0,4.669,2059.0,6.890495867768594,15734.0,62.0
27,Horizon3.ai,0,4.697,13211.0,6.9318181818181825,4582.0,63.0
24,Inky,0,4.769,5572.0,7.0380755608028345,12221.0,64.0
