initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
183,Ericom Software,0,2.946,110697.0,3.51174156633687,74951.0,85.0
102,Hitachi Systems Security,0,2.946,74634.0,3.51174156633687,111014.0,86.0
103,Cleafy,0,2.946,169846.0,3.51174156633687,15802.0,87.0
63,BlackFog,0,2.949,45323.0,3.515317677911551,140325.0,88.0
325,Remotium,0,2.954,97480.0,3.5212778638693534,88168.0,89.0
58,InvizBox,0,2.957,88556.0,3.524853975444034,97092.0,90.0
164,SaferVPN,0,2.962,48233.0,3.5308141614018362,137415.0,91.0
34,Velocity Technologies,0,2.966,131983.0,3.5355823101680777,53665.0,92.0
364,AppOmni,0,2.977,280.0,3.5486947192752414,185368.0,93.0
302,Queralt,0,2.987,76054.0,3.560615091190846,109594.0,94.0
265,Fortanix,0,2.99,4981.0,3.564191202765527,180667.0,95.0
352,oneEvent Technologies,0,2.992,66311.0,3.5665752771486474,119337.0,96.0
67,"YouBase, Inc.",0,2.996,62924.0,3.571343425914889,122724.0,97.0
43,Jiffy,0,3.0,10026.0,3.5761115746811303,175622.0,98.0
188,Bearhug Technologies,0,3.009,160644.0,3.5868399094051733,25004.0,99.0
466,Venux,0,3.01,125984.0,3.5880319465967334,59664.0,100.0
451,CloudEdison.com is our new flagship products branded by MAXSET Worldwide Inc.,0,3.016,86143.0,3.595184169746096,99505.0,101.0
490,WeSee,0,3.017,171021.0,3.5963762069376566,14627.0,102.0
366,Spokesafe,0,3.018,58192.0,3.5975682441292167,127456.0,103.0
363,Zscaler,0,3.022,170.0,3.602336392895458,185478.0,104.0
269,Edge,0,3.024,4447.0,3.6047204672785793,181201.0,105.0
281,BedRock Systems,0,3.029,139576.0,3.610680653236381,46072.0,106.0
108,iDMerit,0,3.03,182384.0,3.6118726904279415,3264.0,107.0
444,Robust Intelligence,0,3.037,51579.0,3.620216950768864,134069.0,108.0
276,Strongbox IT,0,3.038,74055.0,3.6214089879604243,111593.0,109.0
168,Lynx Software Technologies,0,3.045,122723.0,3.6297532483013475,62925.0,110.0
312,Jumbo Privacy,0,3.049,9835.0,3.634521397067589,175813.0,111.0
393,StackPath,0,3.053,3764.0,3.6392895458338304,181884.0,112.0
259,Physical Optics Corporation,0,3.057,169399.0,3.644057694600072,16249.0,113.0
358,Ensighten,0,3.057,12069.0,3.644057694600072,173579.0,114.0
296,Authentium,0,3.065,179545.0,3.653593992132555,6103.0,115.0
161,OWLR Technologies,0,3.07,75954.0,3.6595541780903567,109694.0,116.0
181,Brightbox,0,3.074,77946.0,3.6643223268565976,107702.0,117.0
373,Porticor Cloud Security,0,3.075,63152.0,3.6655143640481587,122496.0,118.0
268,IMNA Solutions,0,3.08,67470.0,3.6714745500059602,118178.0,119.0
266,AGT International,0,3.084,137243.0,3.676242698772202,48405.0,120.0
38,DroneShield,0,3.085,18948.0,3.6774347359637622,166700.0,121.0
256,Qohash,0,3.086,15098.0,3.6786267731553224,170550.0,122.0
198,ForAllSecure,0,3.09,12223.0,3.683394921921564,173425.0,123.0
115,Stratus Technologies,0,3.105,115807.0,3.70127547979497,69841.0,124.0
46,Vadium,0,3.107,132096.0,3.703659554178091,53552.0,125.0
232,Skyport Systems,0,3.116,19552.0,3.7143878889021344,166096.0,126.0
162,Capy Inc.,0,3.118,60306.0,3.7167719632852547,125342.0,127.0
274,CSRA,0,3.119,155938.0,3.7179640004768153,29710.0,128.0
343,Rundown App,0,3.122,152189.0,3.721540112051496,33459.0,129.0
221,Datacloak,0,3.125,31364.0,3.7251162236261774,154284.0,130.0
224,Comilion,0,3.125,82537.0,3.7251162236261774,103111.0,131.0
223,Intertech Security,0,3.125,67978.0,3.7251162236261774,117670.0,132.0
220,InfoSec Global,0,3.125,147931.0,3.7251162236261774,37717.0,133.0
222,Cydarm,0,3.125,68043.0,3.7251162236261774,117605.0,134.0
392,Claravine,0,3.128,13769.0,3.7286923352008587,171879.0,135.0
356,Dom Rock,0,3.131,53352.0,3.7322684467755396,132296.0,136.0
32,CyberDefender,0,3.133,103047.0,3.7346525211586608,82601.0,137.0
201,Arx Nimbus,0,3.136,177029.0,3.738228632733342,8619.0,138.0
136,Cognyte,0,3.141,163294.0,3.7441888186911436,22354.0,139.0
239,Acsis,0,3.15,58276.0,3.7549171534151866,127372.0,140.0
421,Lacework,0,3.162,581.0,3.7692215997139114,185067.0,141.0
396,Netgate,0,3.167,158732.0,3.775181785671713,26916.0,142.0
470,Whispli,0,3.173,28151.0,3.7823340088210755,157497.0,143.0
458,Secmation,0,3.173,50460.0,3.7823340088210755,135188.0,144.0
68,GK8,0,3.174,16068.0,3.7835260460126356,169580.0,145.0
137,datapath.io,0,3.183,54405.0,3.794254380736679,131243.0,146.0
98,SureID,0,3.191,175994.0,3.803790678269162,9654.0,147.0
260,Alivia Analytics,0,3.195,52404.0,3.808558827035404,133244.0,148.0
130,Cyemptive Technologies,0,3.196,44537.0,3.8097508642269644,141111.0,149.0
182,Pango,0,3.199,121123.0,3.8133269758016453,64525.0,150.0
147,OPSWAT,0,3.203,528.0,3.8180951245678867,185120.0,151.0
322,Digify,0,3.204,124880.0,3.8192871617594477,60768.0,152.0
437,SmarterCloud,0,3.206,159631.0,3.821671236142568,26017.0,153.0
441,Malloc,0,3.207,67194.0,3.8228632733341286,118454.0,154.0
275,NetBeez,0,3.209,32964.0,3.8252473477172493,152684.0,155.0
279,Downdetector,0,3.222,71934.0,3.8407438312075337,113714.0,156.0
231,Synack,0,3.226,3485.0,3.845511979973775,182163.0,157.0
