initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
8,1Password,0,4.694,1291.0,7.733113673805601,1.0,1.0
9,Acronis,0,4.824,595.0,7.947281713344315,697.0,2.0
5,Zscaler,0,5.224,170.0,8.606260296540363,1122.0,3.0
3,BigID,0,5.279,152.0,8.696869851729819,1140.0,4.0
6,OPSWAT,0,5.315,528.0,8.756177924217463,764.0,5.0
4,AppOmni,0,5.32,280.0,8.764415156507413,1012.0,6.0
1,Lacework,0,5.33,581.0,8.780889621087315,711.0,7.0
7,OneTrust,0,5.449,107.0,8.976935749588137,1185.0,8.0
2,Talend,0,5.493,1264.0,9.049423393739705,28.0,9.0
0,G4S,0,6.07,988.0,10.0,304.0,10.0
