initial_position,final_configuration,degree,final_rank,rank_CB,final_rank_normlized,rank_CB_normlized,TeckRank_int
332,Tectonica,1,0.382,817866.0,0.268145444335252,527039.0,1.0
308,guardNOW,1,0.382,475626.0,0.268145444335252,869279.0,2.0
335,Interlogix,1,0.382,848586.0,0.268145444335252,496319.0,3.0
311,iSecurity,1,0.382,484817.0,0.268145444335252,860088.0,4.0
329,Canada IT Advance and Deliverance Corp.,1,0.382,1222832.0,0.268145444335252,122073.0,5.0
316,Aladdin Knowledge Systems,1,0.382,194230.0,0.268145444335252,1150675.0,6.0
328,Verisure Chile,1,0.382,767099.0,0.268145444335252,577806.0,7.0
321,Security InfoWatch,1,0.382,519065.0,0.268145444335252,825840.0,8.0
343,Bluecorp Security,1,0.382,869900.0,0.268145444335252,475005.0,9.0
340,A-AAA Houston Storage,1,0.382,879377.0,0.268145444335252,465528.0,10.0
319,Nidec Sankyo,1,0.382,524508.0,0.268145444335252,820397.0,11.0
322,Ace Fire and Security,1,0.382,755403.0,0.268145444335252,589502.0,12.0
333,GNUCITIZEN,1,0.382,884899.0,0.268145444335252,460006.0,13.0
334,Immobileyes,1,0.382,888658.0,0.268145444335252,456247.0,14.0
323,Butchko,1,0.382,744894.0,0.268145444335252,600011.0,15.0
318,Future Tense Central,1,0.382,736150.0,0.268145444335252,608755.0,16.0
315,Viewnet Enterprise AB,1,0.382,730071.0,0.268145444335252,614834.0,17.0
313,Positive Response Communications,1,0.382,320574.0,0.268145444335252,1024331.0,18.0
330,Forsafe,1,0.382,1086670.0,0.268145444335252,258235.0,19.0
331,Genesis Security Systems,1,0.382,935672.0,0.268145444335252,409233.0,20.0
326,Health Integrity,1,0.382,590919.0,0.268145444335252,753986.0,21.0
336,IT Security Watch,1,0.382,1058093.0,0.268145444335252,286812.0,22.0
325,IronKey,1,0.382,235123.0,0.268145444335252,1109782.0,23.0
339,Wellcrown International Resources,1,0.382,1043869.0,0.268145444335252,301036.0,24.0
309,Secarma,1,0.382,289602.0,0.268145444335252,1055303.0,25.0
342,Passcode,1,0.382,1034620.0,0.268145444335252,310285.0,26.0
338,MJH,1,0.382,1030967.0,0.268145444335252,313938.0,27.0
317,Barikat,1,0.382,277884.0,0.268145444335252,1067021.0,28.0
310,Denali Solutions,1,0.382,655148.0,0.268145444335252,689757.0,29.0
344,Xtraspace,1,0.382,1002179.0,0.268145444335252,342726.0,30.0
320,Drex Security Solutions,1,0.382,406607.0,0.268145444335252,938298.0,31.0
314,Instituut Fysieke Veiligheid,1,0.382,436056.0,0.268145444335252,908849.0,32.0
341,Sonic Security Services,1,0.382,1137866.0,0.268145444335252,207039.0,33.0
327,Red Hawk Fire & Security,1,0.382,176817.0,0.268145444335252,1168088.0,34.0
324,SD Elements,1,0.382,185502.0,0.268145444335252,1159403.0,35.0
312,Eagle Security,1,0.382,436523.0,0.268145444335252,908382.0,36.0
337,Frogteam Security,1,0.382,836179.0,0.268145444335252,508726.0,37.0
247,Netgain Information Systems Company,1,0.383,386988.0,0.2688473957602134,957917.0,38.0
213,Firstline App,1,0.383,922903.0,0.2688473957602134,422002.0,39.0
233,Cobago,1,0.383,499337.0,0.2688473957602134,845568.0,40.0
256,GemNet,1,0.383,1205341.0,0.2688473957602134,139564.0,41.0
269,New Zealand Defence Force,1,0.383,578354.0,0.2688473957602134,766551.0,42.0
