initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
6,Reliable Fire Equipment,0,1.0,513158.0,3.304692663582287,831319.0,1.0
1,adbuq | OOH Media Search Engine,0,1.0,1341866.0,3.304692663582287,2611.0,2.0
4,Maya Toys,0,1.0,579924.0,3.304692663582287,764553.0,3.0
7,Electro Signs and Design LLC,0,1.0,875783.0,3.304692663582287,468694.0,4.0
8,Heritage Solutions,0,1.0,555780.0,3.304692663582287,788697.0,5.0
3,United States Tour Operators Association,0,1.0,774528.0,3.304692663582287,569949.0,6.0
5,Smarts Group,0,1.0,344645.0,3.304692663582287,999832.0,7.0
0,Cold Chain Technologies,0,1.0,138847.0,3.304692663582287,1205630.0,8.0
2,Merchants of Green Coffee,0,1.0,838317.0,3.304692663582287,506160.0,9.0
85,diplo*,0,2.0,672039.0,6.609385327164574,672438.0,10.0
86,Photonic Science Technology,0,2.0,1215748.0,6.609385327164574,128729.0,11.0
2340,Acronis,0,2.76,595.0,9.120951751487112,1343882.0,12.0
2274,1Password,0,2.76,1291.0,9.120951751487112,1343186.0,13.0
2440,fitchain,0,2.76,341658.0,9.120951751487112,1002819.0,14.0
2342,LockDown,0,2.76,43885.0,9.120951751487112,1300592.0,15.0
1894,Swiss Security Solutions LLC,0,2.76,40435.0,9.120951751487112,1304042.0,16.0
2370,Silver Shark Solutions,0,2.76,686738.0,9.120951751487112,657739.0,17.0
2434,Impresso Labs,0,2.76,65537.0,9.120951751487112,1278940.0,18.0
1761,Honeywell International,0,2.76,527862.0,9.120951751487112,816615.0,19.0
2430,Tauruseer,0,2.772,54918.0,9.160608063450098,1289559.0,20.0
2339,i2Chain,0,2.772,30559.0,9.160608063450098,1313918.0,21.0
2405,Perspecsys,0,2.772,50268.0,9.160608063450098,1294209.0,22.0
1573,2ndQuadrant,0,2.772,213396.0,9.160608063450098,1131081.0,23.0
2328,Protegrity,0,2.772,80887.0,9.160608063450098,1263590.0,24.0
2120,Secure Code Warrior,0,2.772,4301.0,9.160608063450098,1340176.0,25.0
2161,Praetorian,0,2.772,12218.0,9.160608063450098,1332259.0,26.0
2359,Data Catalyst,0,2.772,267292.0,9.160608063450098,1077185.0,27.0
2368,Original Function,0,2.772,311803.0,9.160608063450098,1032674.0,28.0
2400,Metacommerce,0,2.772,42728.0,9.160608063450098,1301749.0,29.0
627,ZeNPulsar,0,2.772,520454.0,9.160608063450098,824023.0,30.0
2247,IonTerra,0,2.772,65724.0,9.160608063450098,1278753.0,31.0
2441,WeSee,0,2.772,171021.0,9.160608063450098,1173456.0,32.0
2439,Tendertec,0,2.772,49052.0,9.160608063450098,1295425.0,33.0
2310,Originscale,0,2.785,85949.0,9.20356906807667,1258528.0,34.0
2437,Purism,0,2.785,32607.0,9.20356906807667,1311870.0,35.0
2316,Omnistruct Inc,0,2.785,77163.0,9.20356906807667,1267314.0,36.0
2361,Aware,0,2.785,14372.0,9.20356906807667,1330105.0,37.0
