initial_position,final_configuration,degree,techrank,TeckRank_int
0,Outdoor Advertising,0,1.0,1.0
1,Digital Signage,0,1.0,2.0
9,Coffee,0,1.0,3.0
10,Tour Operator,0,1.0,4.0
7,Family,0,1.0,5.0
4,Task Management,0,1.0,6.0
5,SNS,0,1.0,7.0
3,Consumer Lending,0,1.0,8.0
2,First Aid,0,1.0,9.0
6,Stock Exchanges,0,1.0,10.0
8,Toys,0,1.0,11.0
35,Packaging Services,0,2.0,12.0
34,Janitorial Service,0,6.519,13.0
33,Social Media Management,0,6.681,14.0
31,Shipping Broker,0,6.851,15.0
32,Fleet Management,0,6.851,16.0
11,Speech Recognition,0,6.854,17.0
22,Building Maintenance,0,6.854,18.0
15,Cooking,0,6.854,19.0
24,Delivery Service,0,6.854,20.0
29,Credit,0,6.854,21.0
92,Simulation,0,6.972,22.0
68,Life Insurance,0,8.038,23.0
106,Gift,0,8.038,24.0
85,Public Transportation,0,8.038,25.0
30,Water Purification,0,8.038,26.0
89,Facial Recognition,0,8.314,27.0
131,Furniture,0,8.321,28.0
81,Coupons,0,8.326,29.0
83,Peer to Peer,0,8.326,30.0
82,Augmented Reality,0,8.326,31.0
27,E-Signature,0,8.326,32.0
43,Archiving Service,0,8.326,33.0
63,Product Management,0,8.326,34.0
73,Ad Targeting,0,8.326,35.0
37,Communication Hardware,0,8.326,36.0
50,Geospatial,0,8.326,37.0
44,Sales Automation,0,8.326,38.0
59,Industrial Design,0,8.326,39.0
86,Sharing Economy,0,8.326,40.0
76,In-Flight Entertainment,0,8.326,41.0
87,Consumer Research,0,8.326,42.0
56,Credit Cards,0,8.326,43.0
55,Procurement,0,8.326,44.0
21,Product Search,0,8.326,45.0
42,Alumni,0,8.326,46.0
80,Veterinary,0,8.326,47.0
54,Business Travel,0,8.326,48.0
72,Social Impact,0,8.326,49.0
48,Nutrition,0,8.326,50.0
40,Video Games,0,8.326,51.0
62,Seafood,0,8.326,52.0
39,Nightlife,0,8.326,53.0
20,Angel Investment,0,8.326,54.0
61,Restaurants,0,8.326,55.0
74,Debt Collections,0,8.326,56.0
71,Point of Sale,0,8.326,57.0
38,Energy Storage,0,8.326,58.0
23,Impact Investing,0,8.326,59.0
69,Ride Sharing,0,8.326,60.0
52,Dental,0,8.326,61.0
47,Audio,0,8.326,62.0
41,Recreation,0,8.326,63.0
12,Water Transportation,0,8.326,64.0
60,Psychology,0,8.326,65.0
45,Employment,0,8.326,66.0
70,Food Delivery,0,8.326,67.0
19,Travel Accommodations,0,8.326,68.0
75,Child Care,0,8.326,69.0
162,Art,0,8.443,70.0
