initial_position,final_configuration,degree,techrank,rank_CB,techrank_normlized,rank_CB_normlized,TeckRank_int
1,Electro Signs and Design LLC,0,1.0,875783.0,3.1776294884016525,139822.0,1.0
10,Sonoma Self Storage,0,1.0,978833.0,3.1776294884016525,36772.0,2.0
6,Gulf Union Cooperative Insurance Co.,0,1.0,477577.0,3.1776294884016525,538028.0,3.0
12,Merchants of Green Coffee,0,1.0,838317.0,3.1776294884016525,177288.0,4.0
2,Reliable Fire Equipment,0,1.0,513158.0,3.1776294884016525,502447.0,5.0
8,Maya Toys,0,1.0,579924.0,3.1776294884016525,435681.0,6.0
7,Stashable,0,1.0,179617.0,3.1776294884016525,835988.0,7.0
11,Heritage Solutions,0,1.0,555780.0,3.1776294884016525,459825.0,8.0
5,Plerts,0,1.0,959907.0,3.1776294884016525,55698.0,9.0
3,Extra Attic Mini Storage,0,1.0,931405.0,3.1776294884016525,84200.0,10.0
4,SGTI,0,1.0,987357.0,3.1776294884016525,28248.0,11.0
13,Cold Chain Technologies,0,1.0,138847.0,3.1776294884016525,876758.0,12.0
9,United States Tour Operators Association,0,1.0,774528.0,3.1776294884016525,241077.0,13.0
0,Smarts Group,0,1.0,344645.0,3.1776294884016525,670960.0,14.0
69,diplo*,0,2.0,672039.0,6.355258976803305,343566.0,15.0
1969,Silver Shark Solutions,0,2.87,686738.0,9.119796631712743,328867.0,16.0
1899,LockDown,0,2.87,43885.0,9.119796631712743,971720.0,17.0
1824,1Password,0,2.87,1291.0,9.119796631712743,1014314.0,18.0
1461,Swiss Security Solutions LLC,0,2.87,40435.0,9.119796631712743,975170.0,19.0
1399,Honeywell International,0,2.87,527862.0,9.119796631712743,487743.0,20.0
1922,Acronis,0,2.87,595.0,9.119796631712743,1015010.0,21.0
1996,fitchain,0,2.87,341658.0,9.119796631712743,673947.0,22.0
1989,Impresso Labs,0,2.87,65537.0,9.119796631712743,950068.0,23.0
1885,Protegrity,0,2.883,80887.0,9.161105815061964,934718.0,24.0
1722,Praetorian,0,2.883,12218.0,9.161105815061964,1003387.0,25.0
1984,Tauruseer,0,2.883,54918.0,9.161105815061964,960687.0,26.0
1973,Original Function,0,2.883,311803.0,9.161105815061964,703802.0,27.0
1998,Tendertec,0,2.883,49052.0,9.161105815061964,966553.0,28.0
1960,Perspecsys,0,2.883,50268.0,9.161105815061964,965337.0,29.0
1755,Secure Code Warrior,0,2.883,4301.0,9.161105815061964,1011304.0,30.0
1878,i2Chain,0,2.883,30559.0,9.161105815061964,985046.0,31.0
